payment_id,subscription_id,amount,payment_date,payment_method
P1,S1,999,2021-04-26,NetBanking
P2,S2,299,2019-05-06,Wallet
P3,S3,599,2022-04-04,Card
P4,S4,999,2022-01-11,UPI
P5,S5,299,2022-08-03,NetBanking
P6,S6,599,2019-03-11,Wallet
P7,S7,999,2019-03-30,Card
P8,S8,299,2020-03-25,UPI
P9,S9,599,2019-03-12,NetBanking
P10,S10,999,2021-11-22,Wallet
P11,S11,299,2021-05-06,Card
P12,S12,599,2019-12-18,UPI
P13,S13,999,2022-12-21,NetBanking
P14,S14,299,2020-01-22,Wallet
P15,S15,599,2020-06-08,Card
P16,S16,999,2019-03-13,UPI
P17,S17,299,2021-08-11,NetBanking
P18,S18,599,2021-01-14,Wallet
P19,S19,999,2022-09-10,Card
P20,S20,299,2020-03-27,UPI
P21,S21,599,2020-11-08,NetBanking
P22,S22,999,2021-04-18,Wallet
P23,S23,299,2022-05-25,Card
P24,S24,599,2022-11-11,UPI
P25,S25,999,2021-12-14,NetBanking
P26,S26,299,2022-09-07,Wallet
P27,S27,599,2019-07-25,Card
P28,S28,999,2021-06-05,UPI
P29,S29,299,2022-03-06,NetBanking
P30,S30,599,2020-09-11,Wallet
P31,S31,999,2019-03-21,Card
P32,S32,299,2019-02-27,UPI
P33,S33,599,2019-03-21,NetBanking
P34,S34,999,2020-12-08,Wallet
P35,S35,299,2019-12-05,Card
P36,S36,599,2020-09-17,UPI
P37,S37,999,2021-09-22,NetBanking
P38,S38,299,2021-09-21,Wallet
P39,S39,599,2022-10-20,Card
P40,S40,999,2023-01-27,UPI
P41,S41,299,2021-02-27,NetBanking
P42,S42,599,2022-11-27,Wallet
P43,S43,999,2020-06-03,Card
P44,S44,299,2022-04-27,UPI
P45,S45,599,2023-01-09,NetBanking
P46,S46,999,2019-07-15,Wallet
P47,S47,299,2020-11-22,Card
P48,S48,599,2022-08-19,UPI
P49,S49,999,2022-04-05,NetBanking
P50,S50,299,2020-03-07,Wallet
P51,S51,599,2022-12-16,Card
P52,S52,999,2019-04-13,UPI
P53,S53,299,2022-09-17,NetBanking
P54,S54,599,2020-04-30,Wallet
P55,S55,999,2021-12-20,Card
P56,S56,299,2019-10-11,UPI
P57,S57,599,2022-05-30,NetBanking
P58,S58,999,2020-11-24,Wallet
P59,S59,299,2022-04-25,Card
P60,S60,599,2021-05-27,UPI
P61,S61,999,2021-09-16,NetBanking
P62,S62,299,2019-03-25,Wallet
P63,S63,599,2021-06-05,Card
P64,S64,999,2021-11-03,UPI
P65,S65,299,2021-10-02,NetBanking
P66,S66,599,2022-11-13,Wallet
P67,S67,999,2021-10-11,Card
P68,S68,299,2022-09-09,UPI
P69,S69,599,2019-09-12,NetBanking
P70,S70,999,2019-03-23,Wallet
P71,S71,299,2020-06-18,Card
P72,S72,599,2021-02-05,UPI
P73,S73,999,2022-08-23,NetBanking
P74,S74,299,2023-02-26,Wallet
P75,S75,599,2019-07-19,Card
P76,S76,999,2020-02-24,UPI
P77,S77,299,2020-03-16,NetBanking
P78,S78,599,2022-08-04,Wallet
P79,S79,999,2020-06-30,Card
P80,S80,299,2021-07-12,UPI
P81,S81,599,2021-05-15,NetBanking
P82,S82,999,2020-09-02,Wallet
P83,S83,299,2020-11-18,Card
P84,S84,599,2020-05-08,UPI
P85,S85,999,2021-05-12,NetBanking
P86,S86,299,2021-09-27,Wallet
P87,S87,599,2019-09-13,Card
P88,S88,999,2020-10-15,UPI
P89,S89,299,2022-09-18,NetBanking
P90,S90,599,2022-11-10,Wallet
P91,S91,999,2020-10-28,Card
P92,S92,299,2020-05-19,UPI
P93,S93,599,2021-09-02,NetBanking
P94,S94,999,2021-08-29,Wallet
P95,S95,299,2022-11-19,Card
P96,S96,599,2020-12-19,UPI
P97,S97,999,2020-12-16,NetBanking
P98,S98,299,2019-03-26,Wallet
P99,S99,599,2022-09-09,Card
P100,S100,999,2020-09-19,UPI
P101,S101,299,2021-12-26,NetBanking
P102,S102,599,2020-04-01,Wallet
P103,S103,999,2019-05-13,Card
P104,S104,299,2019-03-18,UPI
P105,S105,599,2019-05-26,NetBanking
P106,S106,999,2021-03-13,Wallet
P107,S107,299,2022-10-21,Card
P108,S108,599,2021-10-20,UPI
P109,S109,999,2022-04-13,NetBanking
P110,S110,299,2021-10-13,Wallet
P111,S111,599,2020-02-20,Card
P112,S112,999,2021-01-04,UPI
P113,S113,299,2021-09-16,NetBanking
P114,S114,599,2022-01-09,Wallet
P115,S115,999,2020-07-04,Card
P116,S116,299,2022-10-15,UPI
P117,S117,599,2021-01-18,NetBanking
P118,S118,999,2020-02-09,Wallet
P119,S119,299,2020-10-09,Card
P120,S120,599,2021-01-31,UPI
P121,S121,999,2020-01-18,NetBanking
P122,S122,299,2019-07-12,Wallet
P123,S123,599,2022-12-15,Card
P124,S124,999,2021-06-12,UPI
P125,S125,299,2022-02-09,NetBanking
P126,S126,599,2020-09-04,Wallet
P127,S127,999,2020-03-31,Card
P128,S128,299,2021-04-17,UPI
P129,S129,599,2022-01-09,NetBanking
P130,S130,999,2023-02-16,Wallet
P131,S131,299,2019-06-22,Card
P132,S132,599,2019-05-20,UPI
P133,S133,999,2021-10-04,NetBanking
P134,S134,299,2019-07-06,Wallet
P135,S135,599,2021-10-12,Card
P136,S136,999,2020-04-27,UPI
P137,S137,299,2020-04-05,NetBanking
P138,S138,599,2021-06-16,Wallet
P139,S139,999,2020-05-11,Card
P140,S140,299,2021-04-04,UPI
P141,S141,599,2020-01-17,NetBanking
P142,S142,999,2022-07-17,Wallet
P143,S143,299,2020-08-05,Card
P144,S144,599,2021-12-03,UPI
P145,S145,999,2022-09-12,NetBanking
P146,S146,299,2019-02-16,Wallet
P147,S147,599,2021-11-06,Card
P148,S148,999,2021-11-12,UPI
P149,S149,299,2022-12-06,NetBanking
P150,S150,599,2021-05-29,Wallet
P151,S151,999,2021-09-10,Card
P152,S152,299,2019-02-04,UPI
P153,S153,599,2020-08-12,NetBanking
P154,S154,999,2022-03-27,Wallet
P155,S155,299,2022-12-23,Card
P156,S156,599,2021-03-02,UPI
P157,S157,999,2019-07-29,NetBanking
P158,S158,299,2019-06-16,Wallet
P159,S159,599,2020-09-22,Card
P160,S160,999,2019-06-01,UPI
P161,S161,299,2022-11-05,NetBanking
P162,S162,599,2021-09-11,Wallet
P163,S163,999,2019-10-04,Card
P164,S164,299,2022-01-29,UPI
P165,S165,599,2022-09-12,NetBanking
P166,S166,999,2021-11-20,Wallet
P167,S167,299,2021-11-07,Card
P168,S168,599,2021-09-13,UPI
P169,S169,999,2022-11-09,NetBanking
P170,S170,299,2020-05-09,Wallet
P171,S171,599,2022-04-07,Card
P172,S172,999,2020-04-08,UPI
P173,S173,299,2022-09-21,NetBanking
P174,S174,599,2020-03-04,Wallet
P175,S175,999,2019-06-22,Card
P176,S176,299,2019-06-25,UPI
P177,S177,599,2020-12-30,NetBanking
P178,S178,999,2019-06-10,Wallet
P179,S179,299,2022-02-03,Card
P180,S180,599,2020-12-13,UPI
P181,S181,999,2019-08-29,NetBanking
P182,S182,299,2022-05-05,Wallet
P183,S183,599,2019-10-25,Card
P184,S184,999,2021-07-28,UPI
P185,S185,299,2019-12-20,NetBanking
P186,S186,599,2020-07-30,Wallet
P187,S187,999,2019-06-22,Card
P188,S188,299,2019-12-14,UPI
P189,S189,599,2022-06-26,NetBanking
P190,S190,999,2021-07-12,Wallet
