,user_id,plan,start_date,end_date,status
S1,U33540,Standard,1/18/2020,,Active
S2,U20269,Standard,2/20/2022,4/11/2023,Expired
S3,U5698,Premium,6/14/2022,,Active
S4,U49640,Basic,4/7/2025,,Active
S5,U41919,Basic,10/2/2024,12/11/2025,Cancelled
S6,U25819,Standard,11/10/2020,,Active
S7,U39972,Premium,10/8/2022,9/13/2024,Cancelled
S8,U5870,Basic,3/17/2025,6/17/2025,Cancelled
S9,U873,Premium,12/17/2023,8/17/2024,Cancelled
S10,U1971,Basic,10/9/2023,1/2/2024,Cancelled
S11,U425,Standard,7/13/2024,12/9/2024,Expired
S12,U45264,Standard,10/24/2022,11/6/2025,Cancelled
S13,U1202,Basic,7/15/2023,,Active
S14,U3385,Premium,5/5/2023,9/22/2023,Cancelled
S15,U3220,Standard,7/14/2020,9/17/2023,Cancelled
S16,U15393,Basic,8/1/2022,,Active
S17,U14764,Premium,1/6/2026,1/13/2026,Expired
S18,U22065,Basic,12/3/2024,,Active
S19,U49348,Basic,2/27/2023,,Active
S20,U9755,Premium,2/9/2025,,Active
S21,U30507,Standard,3/23/2022,,Active
S22,U30048,Basic,9/12/2024,,Active
S23,U6448,Standard,1/4/2020,,Active
S24,U47436,Standard,11/2/2020,,Active
S25,U14864,Premium,8/21/2024,4/28/2025,Cancelled
S26,U14891,Basic,11/30/2025,,Active
S27,U35688,Basic,11/16/2024,,Active
S28,U6693,Premium,5/6/2021,9/6/2024,Cancelled
S29,U4792,Premium,5/30/2025,11/17/2025,Expired
S30,U15739,Basic,9/9/2023,,Active
S31,U18570,Premium,3/19/2022,,Active
S32,U30299,Standard,2/16/2025,8/22/2025,Cancelled
S33,U5603,Standard,12/28/2025,1/11/2026,Expired
S34,U38834,Premium,9/23/2025,11/29/2025,Expired
S35,U25022,Basic,8/30/2020,12/15/2020,Cancelled
S36,U5600,Premium,1/8/2020,11/24/2025,Cancelled
S37,U22561,Standard,3/23/2022,,Active
S38,U37680,Standard,6/4/2021,,Active
S39,U25461,Basic,2/15/2025,9/4/2025,Expired
S40,U35619,Premium,7/6/2025,7/20/2025,Cancelled
S41,U29477,Basic,7/13/2023,,Active
S42,U39154,Standard,8/20/2022,,Active
S43,U29714,Basic,7/31/2024,7/19/2025,Cancelled
S44,U39401,Standard,12/11/2021,,Active
S45,U13168,Standard,8/19/2021,,Active
S46,U4512,Standard,7/11/2024,,Active
S47,U8029,Premium,10/30/2020,,Active
S48,U24262,Basic,5/17/2021,,Active
S49,U21370,Standard,10/28/2025,12/13/2025,Expired
S50,U342,Basic,11/5/2024,,Active
S51,U45710,Standard,6/23/2024,,Active
S52,U24109,Basic,3/20/2025,,Active
S53,U7227,Standard,4/13/2022,11/10/2024,Cancelled
S54,U34420,Premium,3/19/2021,,Active
S55,U20755,Standard,8/16/2022,9/10/2023,Expired
S56,U25281,Standard,4/14/2021,,Active
S57,U10688,Standard,12/31/2022,11/11/2025,Expired
S58,U21478,Standard,11/22/2020,12/19/2023,Cancelled
S59,U743,Standard,10/4/2024,,Active
S60,U20530,Basic,1/11/2020,11/22/2020,Cancelled
S61,U47245,Standard,11/23/2022,2/10/2023,Expired
S62,U45320,Basic,3/25/2022,10/7/2022,Expired
S63,U31209,Standard,8/30/2020,10/17/2025,Cancelled
S64,U7859,Standard,2/14/2021,,Active
S65,U18220,Basic,4/22/2021,7/23/2024,Cancelled
S66,U33864,Basic,1/7/2024,,Active
S67,U32811,Premium,3/6/2021,8/6/2021,Expired
S68,U29523,Basic,12/12/2025,,Active
S69,U23652,Premium,3/23/2020,,Active
S70,U39126,Standard,3/29/2023,,Active
S71,U1580,Basic,9/29/2025,11/11/2025,Expired
S72,U8141,Basic,9/11/2023,,Active
S73,U41477,Premium,6/17/2023,8/13/2023,Cancelled
S74,U28140,Premium,1/6/2026,1/12/2026,Expired
S75,U9183,Basic,8/5/2022,,Active
S76,U33110,Standard,3/26/2024,11/16/2024,Cancelled
S77,U17172,Standard,2/8/2025,,Active
S78,U26287,Basic,8/3/2025,10/10/2025,Cancelled
S79,U16535,Standard,2/21/2024,,Active
S80,U33666,Basic,9/30/2025,12/3/2025,Cancelled
S81,U44098,Standard,6/15/2024,,Active
S82,U40884,Basic,9/5/2024,11/21/2024,Cancelled
S83,U12505,Basic,12/31/2021,,Active
S84,U16781,Premium,8/5/2021,,Active
S85,U42749,Premium,12/22/2021,,Active
S86,U20976,Basic,3/28/2021,,Active
S87,U19238,Basic,12/1/2021,12/20/2023,Expired
S88,U42242,Basic,11/8/2020,,Active
S89,U7594,Standard,3/10/2025,10/23/2025,Cancelled
S90,U3342,Standard,1/1/2021,2/23/2025,Cancelled
S91,U27971,Standard,9/25/2021,,Active
S92,U43389,Standard,4/28/2024,2/4/2025,Expired
S93,U1944,Basic,8/18/2022,2/22/2023,Cancelled
S94,U4052,Basic,3/7/2021,4/21/2021,Cancelled
S95,U45580,Basic,12/2/2023,12/29/2024,Expired
