user_id,signup_date,country,age,device_type
U1,7/17/2024,US,35,TV
U2,9/10/2022,UK,62,Mobile
U3,1/11/2025,US,26,TV
U4,8/2/2022,IN,47,TV
U5,2/24/2020,UK,59,Mobile
U6,7/7/2020,US,21,TV
U7,9/17/2019,IN,39,TV
U8,8/22/2021,IN,33,Mobile
U9,9/24/2024,US,35,Mobile
U10,3/7/2021,UK,29,Mobile
U11,5/3/2019,AU,31,Web
U12,10/4/2021,US,56,TV
U13,6/22/2022,IN,46,Mobile
U14,5/23/2019,US,52,Tablet
U15,2/4/2022,CA,24,Mobile
U16,12/1/2024,IN,64,Mobile
U17,3/12/2020,UK,36,Mobile
U18,5/7/2025,US,66,Web
U19,4/3/2021,US,67,Web
U20,4/23/2024,UK,19,TV
U21,3/7/2024,IN,42,Mobile
U22,4/26/2022,IN,18,Mobile
U23,3/21/2021,US,32,Mobile
U24,8/15/2022,US,23,Mobile
U25,3/18/2022,IN,57,TV
U26,10/28/2022,IN,48,TV
U27,3/17/2020,IN,64,TV
U28,10/8/2023,US,28,TV
U29,4/9/2020,IN,21,Mobile
U30,7/4/2024,CA,18,TV
U31,1/9/2026,US,19,Mobile
U32,12/31/2019,UK,53,Mobile
U33,3/2/2025,IN,31,Mobile
U34,5/31/2022,US,52,TV
U35,9/23/2024,IN,27,TV
U36,10/25/2020,AU,29,Mobile
U37,10/7/2022,UK,48,TV
U38,10/30/2025,UK,57,TV
U39,4/26/2019,US,47,Tablet
U40,1/2/2021,CA,19,Mobile
U41,8/28/2025,US,69,Tablet
U42,12/31/2020,US,24,Web
U43,5/8/2022,UK,20,TV
U44,5/1/2025,IN,61,Mobile
U45,3/24/2019,IN,37,Mobile
U46,1/24/2025,IN,58,Web
U47,3/4/2019,IN,42,Mobile
U48,1/5/2021,UK,49,Mobile
U49,3/16/2022,IN,39,Mobile
U50,4/23/2025,US,65,TV
U51,8/7/2022,IN,61,TV
U52,12/1/2019,AU,58,Mobile
U53,11/1/2022,UK,27,TV
U54,7/25/2019,US,27,TV
U55,10/1/2023,IN,70,Mobile
U56,2/19/2022,UK,63,Web
U57,10/3/2019,US,22,Mobile
U58,11/9/2020,AU,45,TV
U59,4/29/2023,CA,27,Mobile
U60,5/22/2025,US,65,Mobile
U61,6/7/2024,US,67,TV
U62,3/13/2024,US,25,Mobile
U63,4/8/2023,US,35,Mobile
U64,5/21/2024,IN,48,TV
U65,8/9/2020,US,24,Web
U66,3/9/2025,UK,20,Mobile
U67,8/19/2019,US,41,TV
U68,8/7/2023,US,39,Tablet
U69,5/30/2023,US,52,Mobile
U70,7/28/2023,US,59,Mobile
U71,10/2/2022,US,18,Mobile
U72,6/4/2020,US,69,Mobile
U73,7/24/2024,IN,52,TV
U74,1/25/2025,AU,47,TV
U75,6/5/2024,US,32,Mobile
U76,5/5/2020,US,41,Mobile
U77,1/22/2020,IN,45,Mobile
U78,5/8/2020,US,64,TV
U79,2/27/2019,US,29,Web
U80,1/28/2025,US,47,Mobile
U81,6/16/2019,CA,55,TV
U82,12/11/2025,US,49,Web
U83,9/22/2024,US,62,TV
U84,6/11/2023,UK,53,Web
U85,11/22/2024,US,36,Web
U86,6/1/2023,US,33,TV
