log_id,user_id,content_id,genre,watch_time_m,date,completion_flag
L1,U20794,C290,Drama,72,2021-04-16,Yes
L2,U3521,C968,Drama,79,2023-01-18,No
L3,U17829,C168,Horror,41,2023-02-09,Yes
L4,U56,C70,Action,212,2024-06-01,No
L5,U38732,C594,Drama,40,2020-02-24,Yes
L6,U10875,C507,Comedy,180,2022-02-20,No
L7,U4397,C241,Drama,67,2020-10-15,Yes
L8,U39793,C665,Drama,67,2022-03-27,No
L9,U32915,C471,Comedy,151,2022-01-24,Yes
L10,U14019,C112,Comedy,102,2020-08-11,No
L11,U37202,C525,Sci-Fi,151,2019-04-02,Yes
L12,U12869,C400,Action,45,2019-07-04,No
L13,U49421,C33,Biography,77,2021-10-21,Yes
L14,U35075,C225,Comedy,132,2021-03-22,No
L15,U37782,C802,Horror,236,2019-11-02,Yes
L16,U9547,C240,Biography,115,2019-08-22,No
L17,U4077,C321,Horror,17,2019-05-20,Yes
L18,U34767,C868,Biography,39,2021-04-14,No
L19,U38100,C781,Comedy,13,2024-01-15,Yes
L20,U49541,C388,Biography,20,2022-10-19,No
L21,U22888,C334,Comedy,218,2021-05-26,Yes
L22,U31409,C556,Horror,198,2020-04-15,No
L23,U23019,C550,Action,20,2021-03-05,Yes
L24,U34186,C850,Drama,216,2019-11-19,No
L25,U26176,C413,Comedy,130,2020-08-08,Yes
L26,U28365,C837,Drama,153,2022-12-07,No
L27,U25358,C333,Horror,198,2022-08-05,Yes
L28,U44630,C803,Biography,215,2020-08-30,No
L29,U18691,C682,Biography,226,2021-10-15,Yes
L30,U33390,C149,Sci-Fi,202,2020-02-25,No
L31,U34416,C536,Sci-Fi,63,2024-05-01,Yes
L32,U40961,C687,Comedy,146,2020-01-27,No
L33,U17503,C261,Horror,92,2019-11-11,Yes
L34,U34164,C859,Drama,216,2022-10-29,No
L35,U49227,C116,Drama,229,2022-07-01,Yes
L36,U30107,C774,Comedy,195,2021-10-18,No
L37,U33157,C280,Comedy,40,2020-08-29,Yes
L38,U1791,C185,Comedy,138,2022-05-19,No
L39,U17246,C92,Biography,80,2021-05-15,Yes
L40,U34883,C939,Sci-Fi,120,2023-07-24,No
L41,U17253,C263,Biography,87,2022-02-27,Yes
L42,U28085,C966,Drama,70,2021-09-26,No
L43,U47622,C630,Drama,138,2020-09-01,Yes
L44,U12572,C250,Drama,28,2021-02-10,No
L45,U1392,C370,Biography,146,2021-06-23,Yes
